,device_id,mean_magnitude,std_magnitude,median_magnitude,min_magnitude,max_magnitude,mean_x,mean_y,mean_z,variance_x,variance_y,variance_z,correlation_xy,correlation_yz,correlation_xz,covariance_xy,covariance_yz,covariance_xz,skew_x,skew_y,skew_z,kurtosis_x,kurtosis_y,kurtosis_z,epoch,weekday,group,datetime_EST
26,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.148164,0.549491,0.00962862,0.00044678,19.692,-0.000388679,0.00709217,-0.00604452,0.0810769,0.148495,0.0942343,0.278275,-0.117027,0.130492,0.0305342,-0.0138438,0.0114063,2.42401,-0.352436,-1.07119,156.014,100.016,126.783,allday,,3_hour,2021-09-13 21:00:00
27,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0539253,0.254962,0.00931746,0.000450402,10.1883,-0.000526733,0.00621828,-0.00511637,0.0177887,0.0308847,0.0191749,-0.0631045,0.17211,-0.0576181,-0.00147915,0.00418844,-0.00106416,-3.12276,-0.502665,-3.82417,375.924,527.56,263.869,allday,,3_hour,2021-09-14 00:00:00
28,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.00942898,0.00757498,0.00880978,0.00192219,0.407469,-0.000176654,0.00729169,-0.00446079,3.29855e-05,2.85223e-05,1.16796e-05,0.0168412,0.0680964,-0.0238438,5.16577e-07,1.24291e-06,-4.68014e-07,-3.96994,-2.18322,-54.7433,761.031,589.29,5728.82,allday,,3_hour,2021-09-14 03:00:00
29,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.049028,0.273501,0.0091902,0.000358356,11.3474,-2.64135e-05,0.00613186,-0.0049562,0.0205266,0.037261,0.0193566,0.233545,0.223614,0.015403,0.00645898,0.00600549,0.000307033,5.76577,1.49176,-1.14926,369.08,581.493,446.118,allday,,3_hour,2021-09-14 06:00:00
30,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.137049,0.585172,0.00923947,0.000726244,14.2231,-0.00281153,0.00793816,-0.00405468,0.0737249,0.196794,0.0906032,0.0845873,-0.157339,0.251345,0.0101889,-0.0210098,0.0205427,2.26225,-0.633015,0.345688,147.036,123.856,88.705,allday,,3_hour,2021-09-14 09:00:00
31,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0436876,0.266655,0.00938409,0.00111647,13.9091,-0.00010712,0.006664,-0.00525414,0.017971,0.0449059,0.0100645,0.10641,-0.00338475,-0.0404118,0.00302293,-7.19585e-05,-0.000543498,6.60712,-7.01171,-1.03543,454.245,1097.28,339.426,allday,,3_hour,2021-09-14 12:00:00
32,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0551205,0.293183,0.00950984,0.00066688,11.5229,0.000712808,0.00711495,-0.00521877,0.0252746,0.0439681,0.0196737,0.146249,-0.0115643,-0.0364675,0.0048754,-0.000340127,-0.000813204,1.40036,-2.72701,-1.95333,401.507,652.964,277.228,allday,,3_hour,2021-09-14 15:00:00
33,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.113119,0.485079,0.00964386,0.000756664,13.7112,-0.000853912,0.00769506,-0.0042398,0.0627558,0.130079,0.0551847,0.123428,-0.110865,0.231481,0.011152,-0.00939327,0.0136226,1.68258,0.178082,1.3768,96.4557,206.886,106.71,allday,,3_hour,2021-09-14 18:00:00
34,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.03399,0.250135,0.00928523,0.00107865,13.8012,-0.000541883,0.00703455,-0.00533096,0.0138272,0.0425591,0.00725851,0.221915,-0.0354754,0.128473,0.00538342,-0.000623526,0.0012871,-1.59159,-16.9979,-5.38776,613.1,1375.1,474.101,allday,,3_hour,2021-09-14 21:00:00
35,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.149526,0.547934,0.0113674,0.000955136,12.9985,3.18849e-05,0.0100474,-0.00403597,0.0774655,0.177599,0.067408,0.102347,-0.066412,0.22877,0.0120048,-0.00726658,0.0165317,1.73224,0.170895,1.32375,78.1317,140.546,84.5484,allday,,3_hour,2021-09-15 00:00:00
36,a28a128d-afa9-4eb5-ab51-0e059e9aadb9,0.0601702,0.30126,0.0091357,0.000753936,10.2307,0.000660208,0.00700629,-0.00383551,0.0262821,0.0480078,0.0200237,-0.0230086,0.259457,0.0956735,-0.000817308,0.00804457,0.00219484,3.82945,-1.6483,0.440702,760.535,355.81,423.065,allday,,3_hour,2021-09-15 03:00:00
